External ID,Subsidiary,Currency,Exchange Rate,Date,Posting Period,Account,Debit,Credit,Department,Location,Class,Name,Memo,Account ID,PE Detraccion,PE LN Detraccion,PE LN Vendor,PE LN Bill Detraccion,PE LN Detraccion Date,PE LN Detraccion Number,Proveedor,Numero de Documento
DET15112023,3,PEN,1,15/11/23,Nov 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,850.00,0,CS-04-01-02,ASBANC - Oficina Central,CIN-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,5063,1773,,,IMEDIA COMUNICACIONES SOCIEDAD ANONIMA CERRADA,E001-00007813
DET15112023,3,PEN,1,15/11/23,Nov 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,1211.00,0,CS-02-01-00,ASBANC - Oficina Central,FIS-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,6211,2560,,,SAM FACILITY SERVICES S.A.C.,E001-00000389
DET15112023,3,PEN,1,15/11/23,Nov 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,20249.00,0,CS-02-01-01,ASBANC - Oficina Central,FIS-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,5836,2669,,,NOVA FLAT SOCIEDAD ANONIMA CERRADA,E001-00000230
DET15112023,3,PEN,1,15/11/23,Nov 2023,4221202 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones ME-L5,838.00,0,AR-07-01-03,ASBANC - Oficina Central,GHU-00-00,,Pago de Detracciones Periodo Nov 2023,3036,T,T,9009,2431,,,PRIME PROFESIONAL S.A.C.,E001-00000546
DET15112023,3,PEN,1,15/11/23,Nov 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,180.00,0,AR-03-00-00,ASBANC - Oficina Central,GHU-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,9007,2421,,,GACETA CONSULTORES SOCIEDAD ANONIMA,F010-00004136
DET15112023,3,PEN,1,15/11/23,Nov 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,3540.00,0,AR-10-00-00,ASBANC - Oficina Central,GHU-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,3982,2436,,,CORCUERA CONSULTORES S.A.C.,E001-00000288
DET15112023,3,PEN,1,15/11/23,Nov 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,4895.00,0,AR-10-00-00,ASBANC - Oficina Central,GHU-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,5701,2423,,,MICHAEL  PAGE INTERNATIONAL PERU S.R.L.,F001-00009927
DET15112023,3,PEN,1,15/11/23,Nov 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,1811.00,0,AR-06-00-00,ASBANC - Oficina Central,IMG-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,6788,1769,,,MEDIA CHIRIMOYA SOCIEDAD ANONIMA CERRADA,E001-00000447
DET15112023,3,PEN,1,15/11/23,Nov 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,1291.00,0,CG-01-02-00,ASBANC - Oficina Central,IMG-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,3452,6984,,,APOYO COMUNICACION S.A.,F001-00007103
DET15112023,3,PEN,1,15/11/23,Nov 2023,4221202 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones ME-L5,1898.00,0,CS-01-03-00,ASBANC - Oficina Central,INF-00-00,,Pago de Detracciones Periodo Nov 2023,3036,T,T,4103,2673,,,CSI RENTING PERU S.A.C.,F001-00099630
DET15112023,3,PEN,1,15/11/23,Nov 2023,4221202 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones ME-L5,742.00,0,CG-06-00-00,ASBANC - Oficina Central,LOG-00-00,,Pago de Detracciones Periodo Nov 2023,3036,T,T,6067,8053,,,RENTAEQUIPOS LEASING PERU S.A.,F001-00116655
