External ID,Subsidiary,Currency,Exchange Rate,Date,Posting Period,Account,Debit,Credit,Department,Location,Class,Name,Memo,Account ID,PE Detraccion,PE LN Detraccion,PE LN Vendor,PE LN Bill Detraccion,PE LN Detraccion Date,PE LN Detraccion Number,Proveedor,Numero de Documento
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,3540.00,0,CS-04-02-00,ASBANC - Oficina Central,EEC-00-00,,Pago de Detracciones Periodo Dic 2023,224,T,T,7119,58596,,,IPSOS OPINION Y MERCADO S.A.,F004-00012968
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,28.00,0,CS-02-01-00,ASBANC - Oficina Central,FIS-00-00,,Pago de Detracciones Periodo Dic 2023,224,T,T,6274,56084,,,SERVICIOS EMPRESARIALES MULTISERVICIOS Y LOGISTICOS S.A.C. - SEREMUL,E001-00013492
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,17.00,0,CS-02-04-00,ASBANC - Oficina Central,FIS-00-00,,Pago de Detracciones Periodo Dic 2023,224,T,T,6274,56085,,,SERVICIOS EMPRESARIALES MULTISERVICIOS Y LOGISTICOS S.A.C. - SEREMUL,E001-00013490
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,56.00,0,CS-02-01-00,ASBANC - Oficina Central,FIS-00-00,,Pago de Detracciones Periodo Dic 2023,224,T,T,6274,56086,,,SERVICIOS EMPRESARIALES MULTISERVICIOS Y LOGISTICOS S.A.C. - SEREMUL,E001-00013491
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,10124.00,0,CG-01-02-00,ASBANC - Oficina Central,IMG-00-00,,Pago de Detracciones Periodo Dic 2023,224,T,T,3452,58615,,,APOYO COMUNICACION S.A.,F001-00007276
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,255.00,0,AR-06-00-00,ASBANC - Oficina Central,IMG-00-00,,Pago de Detracciones Periodo Dic 2023,224,T,T,3452,54893,,,APOYO COMUNICACION S.A.,F001-00007269
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,564.00,0,CG-01-02-00,ASBANC - Oficina Central,IMG-00-00,,Pago de Detracciones Periodo Dic 2023,224,T,T,3452,56091,,,APOYO COMUNICACION S.A.,F001-00007368
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,2470.00,0,CG-01-02-00,ASBANC - Oficina Central,IMG-00-00,,Pago de Detracciones Periodo Dic 2023,224,T,T,3452,56089,,,APOYO COMUNICACION S.A.,F001-00007366
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,1116.00,0,AR-06-00-00,ASBANC - Oficina Central,IMG-00-00,,Pago de Detracciones Periodo Dic 2023,224,T,T,3452,56067,,,APOYO COMUNICACION S.A.,F001-00007369
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221202 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones ME-L5,1355.00,0,AR-01-02-00,ASBANC - Oficina Central,INF-00-00,,Pago de Detracciones Periodo Dic 2023,3036,T,T,6687,55506,,,ZEN CONSULTING PERU LIMITADA S.A.C,E001-00000877
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221202 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones ME-L5,4722.00,0,AR-01-02-00,ASBANC - Oficina Central,INF-00-00,,Pago de Detracciones Periodo Dic 2023,3036,T,T,3797,61112,,,CIRION TECHNOLOGIES PERU S.A.,F001-00083196
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,742.00,0,CS-02-01-00,ASBANC - Oficina Central,INF-00-00,,Pago de Detracciones Periodo Dic 2023,224,T,T,10313,47685,,,THALOS TECHNOLOGIES S.A.C.,E001-00000015
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,271.00,0,CS-01-01-00,ASBANC - Oficina Central,INF-00-00,,Pago de Detracciones Periodo Dic 2023,224,T,T,6457,56767,,,TELEFONICA DEL PERU SAA,FFBH-00058790
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221202 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones ME-L5,738.00,0,AR-01-06-00,ASBANC - Oficina Central,INF-00-00,,Pago de Detracciones Periodo Dic 2023,3036,T,T,10388,56670,,,XENTIC S.A.C.,FFA1-00001827
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,904.00,0,CG-01-01-00,ASBANC - Oficina Central,PGR-00-00,,Pago de Detracciones Periodo Dic 2023,224,T,T,5142,55511,,,INSTITUTO APOYO,F001-00002421
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221103 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones MN-L5,320.00,0,CG-02-03-00,ASBANC - Oficina Central,SRC-00-00,,Pago de Detracciones Periodo Dic 2023,224,T,T,3452,56090,,,APOYO COMUNICACION S.A.,F001-00007367
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221202 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones ME-L5,17753.00,0,CS-01-03-00,ASBANC - Oficina Central,TEC-00-00,,Pago de Detracciones Periodo Dic 2023,3036,T,T,6690,60074,,,ZIGLEET S.A.C.,E001-00000723
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221202 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones ME-L5,2489.00,0,CS-01-01-00,ASBANC - Oficina Central,TEC-00-00,,Pago de Detracciones Periodo Dic 2023,3036,T,T,3430,32809,,,AMERICA MOVIL PERU S.A.C.,F015-00203585
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221202 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones ME-L5,1335.00,0,CS-01-04-00,ASBANC - Oficina Central,TEC-00-00,,Pago de Detracciones Periodo Dic 2023,3036,T,T,4530,54584,,,ESCONTECH DEL PERU SOCIEDAD ANONIMA CERRADA  -  ESCONTECH DEL PERU S.,F003-00006799
DE281220233,3,PEN,1,28/12/23,Dic 2023,4221202 ANTICIPOS A PROVEEDORES-422-L3 : PE-Anticipos a proveedores detracciones ME-L5,320.00,0,CS-01-04-00,ASBANC - Oficina Central,TEC-00-00,,Pago de Detracciones Periodo Dic 2023,3036,T,T,4530,54586,,,ESCONTECH DEL PERU SOCIEDAD ANONIMA CERRADA  -  ESCONTECH DEL PERU S.,F003-00006800
DE281220233,3,PEN,1,28/12/23,Dic 2023,ACTIVO DISPONIBLE Y EXIGIBLE-1-L1 : EFECTIVO Y EQUIVALENTES DE EFECTIVO-10-L2 : CUENTAS CORRIENTES EN INSTITUCIONES FINANCIER-104-L3 : CUENTAS CORRIENTES OPERATIVAS-1041-L4 : CUENTAS CORRIENTES OPERATIVAS M.N.-10411-L5 : BCP MN 191-0043000-0-43-1041101-L7,0,49119.00,,,,,Pago de Detracciones Periodo Dic 2023,4673,,,,,,,,,
