External ID,Subsidiary,Currency,Exchange Rate,Date,Posting Period,Account,Debit,Credit,Department,Location,Class,Name,Memo,Account ID,PE Detraccion,PE LN Detraccion,PE LN Vendor,PE LN Bill Detraccion,PE LN Detraccion Date,PE LN Detraccion Number,Proveedor,Numero de Documento
DET22112023,3,PEN,1,22/11/23,Nov 2023,4221103 PE-Anticipos a proveedores detracciones MN-L5,780.00,0,CS-02-01-00,ASBANC - Oficina Central,FIS-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,5838,12439,,,NOVAMOTOS SOCIEDAD ANONIMA CERRADA - NOVAMOTOS S.A.C.,F001-00007176
DET22112023,3,PEN,1,22/11/23,Nov 2023,4221103 PE-Anticipos a proveedores detracciones MN-L5,220.00,0,CS-02-01-00,ASBANC - Oficina Central,FIS-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,5836,12438,,,NOVA FLAT SOCIEDAD ANONIMA CERRADA,E001-00000233
DET22112023,3,PEN,1,22/11/23,Nov 2023,4221103 PE-Anticipos a proveedores detracciones MN-L5,1268.00,0,CS-02-01-00,ASBANC - Oficina Central,FIS-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,5836,12436,,,NOVA FLAT SOCIEDAD ANONIMA CERRADA,E001-00000231
DET22112023,3,PEN,1,22/11/23,Nov 2023,4221103 PE-Anticipos a proveedores detracciones MN-L5,389.00,0,CS-02-01-00,ASBANC - Oficina Central,FIS-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,5836,12437,,,NOVA FLAT SOCIEDAD ANONIMA CERRADA,E001-00000232
DET22112023,3,PEN,1,22/11/23,Nov 2023,4221103 PE-Anticipos a proveedores detracciones MN-L5,453.00,0,AR-01-03-00,ASBANC - Oficina Central,GHU-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,5438,1766,,,JDTS INVERSIONES E.I.R.L.,E001-00000092
DET22112023,3,PEN,1,22/11/23,Nov 2023,4221103 PE-Anticipos a proveedores detracciones MN-L5,1235.00,0,AR-01-03-00,ASBANC - Oficina Central,GHU-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,9041,10249,,,CREA IMAGEN Y EVENTOS S.A.C.,E001-00000366
DET22112023,3,PEN,1,22/11/23,Nov 2023,4221103 PE-Anticipos a proveedores detracciones MN-L5,354.00,0,CG-01-00-00,ASBANC - Oficina Central,IMG-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,9011,12095,,,HUMANMEDIA S.A.C.,E001-00000009
DET22112023,3,PEN,1,22/11/23,Nov 2023,4221103 PE-Anticipos a proveedores detracciones MN-L5,1635.00,0,AR-06-00-00,ASBANC - Oficina Central,IMG-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,4797,10147,,,GLOBAL MEDIA GROUP S.A.C.,E001-00000067
DET22112023,3,PEN,1,22/11/23,Nov 2023,4221103 PE-Anticipos a proveedores detracciones MN-L5,3161.00,0,IN-02-01-07,ASBANC - Oficina Central,IMG-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,3452,11534,,,APOYO COMUNICACION S.A.,F001-00007138
DET22112023,3,PEN,1,22/11/23,Nov 2023,4221202 PE-Anticipos a proveedores detracciones ME-L5,5183.00,0,AR-06-00-00,ASBANC - Oficina Central,IMG-00-00,,Pago de Detracciones Periodo Nov 2023,3036,T,T,3886,11322,,,COMPAÑIA PERUANA DE RADIODIFUSION S.A.,F020-00088555
DET22112023,3,PEN,1,22/11/23,Nov 2023,4221103 PE-Anticipos a proveedores detracciones MN-L5,9346.00,0,AR-06-00-00,ASBANC - Oficina Central,IMG-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,3452,12105,,,APOYO COMUNICACION S.A.,F001-00007157
DET22112023,3,PEN,1,22/11/23,Nov 2023,4221103 PE-Anticipos a proveedores detracciones MN-L5,154.00,0,AR-01-03-00,ASBANC - Oficina Central,LOG-00-00,,Pago de Detracciones Periodo Nov 2023,224,T,T,6320,12107,,,SERVIGYMPERU E.I.R.L.,E001-00000060
